idhere,H_mag,family
2006 WF159,15.47,Background
2006 WW181,15.05,Background
2008 AK106,15.54,Schubart
2005 SO282,14.94,Potomac
2005 TV168,14.73,Schubart
2007 TP181,15.12,Hilda
Hermanfrid,14.94,Schubart
2002 AZ106,14.98,Background
2008 FT73,14.75,Background
2008 RR51,14.45,Background
2002 TU281,13.78,Background
2002 UK46,14.86,Hilda
2005 WC45,15.21,Background
2001 MV16,14.24,Background
2001 NJ14,14.56,Background
2001 PJ4,14.16,Hilda
2001 QK43,14.65,Schubart
2002 TY110,14.29,Hilda
2002 TV256,14.98,Schubart
2008 KY24,14.48,Background
2001 OK77,14.59,Potomac
2001 PW53,14.81,Schubart
2001 PC54,15.1,Background
2001 QT56,14.25,Background
2001 QR225,13.74,Potomac
2001 RN118,14.85,Schubart
2001 SB125,14.21,Background
2001 WN55,14.54,Hilda
2002 XF45,14.81,Schubart
2001 RN27,14.27,Background
2001 RA125,14.69,Schubart
2004 BD36,14.87,Background
2005 EK131,14.39,Potomac
2006 DE102,14.63,Background
2007 KC,14.69,Schubart
1996 GW4,14.8,Schubart
1998 HN10,14.56,Hilda
2001 OK38,14.43,Hilda
2001 QM210,14.77,Background
2001 QM279,14.95,Hilda
2001 SN18,14.7,Hilda
2001 SF174,14.7,Schubart
2001 SA227,15.14,Background
2001 TY128,14.86,Hilda
2001 TD160,14.77,Background
2001 TH161,14.53,Hilda
2001 WH44,14.78,Background
2003 BE57,15.1,Schubart
2003 YL32,14.08,Potomac
2004 BV28,15.0,Schubart
2005 EO31,14.83,Schubart
2005 GC95,15.2,Schubart
2005 GO154,14.37,Hilda
2001 SD255,15.22,Background
2001 VR41,14.83,Background
2001 XE229,15.2,Schubart
2001 YS65,15.17,Schubart
2002 WG20,15.19,Schubart
2003 BB35,14.8,Background
2003 BH61,14.82,Background
2004 CH84,14.94,Background
2004 DN28,14.76,Schubart
2005 EX262,14.65,Background
Romandia,14.55,Background
2005 JG89,14.63,Schubart
2006 JY8,15.23,Schubart
2008 SV9,14.99,Background
2001 VL55,14.6,Hilda
