number,idhere,targetname,H_mag,datetime_jd,e,a_au,incl_deg,Omega_deg,w_deg,M_deg
 21128 ,Chapuis            ,21128 Chapuis (1993 BJ5),12.17,2460796.5,0.1070540040192221,3.957876874680861,7.923229930156213,316.8149004691538,266.6145805965498,305.148946623131
 21804 ,Vaclavneumann      ,21804 Vaclavneumann (1999 TC8),14.45,2460796.5,0.2684324456080737,3.929427861104254,3.840340718422276,97.78757195533257,260.0979020204561,111.011358323208
 21930 ,1999 VP61          ,21930 (1999 VP61),13.07,2460796.5,0.2481439761136447,3.960008760199851,2.335979878878766,201.0880776214385,184.0234829480587,98.13402256557013
 22058 ,2000 AA64          ,22058 (2000 AA64),12.46,2460796.5,0.07673336079747786,4.009168987631083,7.648324310591875,119.8962154817555,87.46229143351795,349.7718834460887
 22070 ,2000 AN106         ,22070 (2000 AN106),12.41,2460796.5,0.2743413073055132,3.975103716884365,13.7407247061336,123.4382008495644,221.5061070863456,145.6134069830453
 22116 ,2000 RK71          ,22116 (2000 RK71),13.07,2460796.5,0.05170523889653632,3.943310176038923,5.606854403592672,114.0841673439512,208.4073922191371,115.5844323349586
 22647 ,Levi-Strauss       ,22647 Levi-Strauss (1998 OR8),13.54,2460796.5,0.2474299104632514,3.960584302658364,2.32480756434764,199.9194990174782,178.8499973590081,109.9874200376777
 22699 ,1998 RU22          ,22699 (1998 RU22),13.72,2460796.5,0.2376704519074328,3.982601958750205,2.976189203051582,25.32614666406491,341.0529486164748,110.4661694590501
 23174 ,2000 HM40          ,23174 (2000 HM40),11.84,2460796.5,0.2565853889316494,3.946517055203993,15.75277941044548,164.105661622032,226.23653135489,280.0252027044614
 23186 ,2000 PO8           ,23186 (2000 PO8),11.61,2460796.5,0.124112061569328,3.997284594344141,13.07583803627934,98.22327722474196,101.5764486225258,179.2209239406093
 23301 ,2001 AO16          ,23301 (2001 AO16),11.49,2460796.5,0.1947323104911793,3.985693458176672,21.42046071217497,301.4830200700008,356.9831549771171,213.2676492540502
 23405 ,Nisyros            ,23405 Nisyros (1973 SB1),13.07,2460796.5,0.1120664189338096,3.977333809060578,5.214909775835803,117.9816470772142,184.4369520567867,254.12675184059
 24701 ,Elyu-Ene           ,24701 Elyu-Ene (1990 VY5),12.74,2460796.5,0.1726178130936903,3.938009089702223,15.54273899705714,94.28256885625726,34.85382169919747,94.50518085136574
 25800 ,Glukhovsky         ,25800 Glukhovsky (2000 CG83),13.1,2460796.5,0.1249331603007997,3.989678036204809,2.409607414304478,3.288312730389272,180.1668749829442,37.5324435343671
 25869 ,Jacoby             ,25869 Jacoby (2000 JP70),11.86,2460796.5,0.1447009505427755,3.982636387250025,16.96602327507706,249.9834228332189,250.9952488804429,94.64767615689935
